"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","platform","platform_version","referer","accept_language","rt","response","success","item_width_mm","item_height_mm","item_width_px","px2mm","scale_factor","stimulus","question_order"
"1745","982","true","Chrome","127.0.0.0","false","Windows 10","true","76.75","false","false","browser-check","0","7152","0.0-0.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","","","","","","","","","",""
"","","","Chrome","127.0.0.0","","","","","","","survey-text","1","12880","0.0-1.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","5724","{""Q0"":""576ad50bc8a90000010d99c8""}","","","","","","","",""
"","","","Chrome","127.0.0.0","","","","","","","fullscreen","2","18115","0.0-2.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","4219","","true","","","","","","",""
"","","","Chrome","127.0.0.0","","","","","","","virtual-chinrest","3","30782","0.0-3.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","12666","","","85.6","53.98","427.5","5","0.8","",""
"","","","Chrome","127.0.0.0","","","","","","","html-button-response","4","36212","0.0-4.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","5428","0","","","","","","","
    <p>If the measurements were done correctly, the square below should be 10 cm x 10 cm.</p>
    <div style=""background-color: black; width: 500px; height: 500px; margin: 20px auto;""></div>
    ",""
"","","","Chrome","127.0.0.0","","","","","","","survey-multi-choice","5","39707","0.0-5.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","3493","{""Q0"":""durian""}","","","","","","","","[0]"
"","","","Chrome","127.0.0.0","","","","","","","html-button-response","6","41258","0.0-6.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","1548","0","","","","","","","<p>Great! You passed the attention check. Now let's begin!</p>",""
"","","","Chrome","127.0.0.0","","","","","","","html-button-response","7","52307","0.0-7.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","11048","0","","","","","","","<p>In this experiment, you will see 15 dashboards, each for 20 seconds.</p> <p> You need to <b>remember the data fact</b> shown on the dashboard, and try to recall whether it is <b>True or False</b> later.</p>",""
"","","","Chrome","127.0.0.0","","","","","","","html-button-response","8","57336","0.0-8.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","5028","0","","","","","","","<p>Your response will be collected and evaluated. If any irregularities are found (such as selecting the same answer for all questions or displaying very low overall accuracy), you may not receive payment.</p>",""
"","","","Chrome","127.0.0.0","","","","","","","image-keyboard-response","9","77339","0.0-9.0","996","1","2024-07-29 19:04:18","b0e02d76891de4098917a4775b26ae70","74.194.108.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","null","null","","","","","","","Filter-Bar-Shade.png",""
